file,algorithm,nanos
aleatorio_100.csv,Bubble,149625
aleatorio_100.csv,Insertion,41458
aleatorio_100.csv,Quick,24291
aleatorio_1000.csv,Bubble,3636041
aleatorio_1000.csv,Insertion,1300958
aleatorio_1000.csv,Quick,173875
aleatorio_10000.csv,Bubble,58131917
aleatorio_10000.csv,Insertion,18849792
aleatorio_10000.csv,Quick,754584
crescente_100.csv,Bubble,667
crescente_100.csv,Insertion,14584
crescente_100.csv,Quick,15375
crescente_1000.csv,Bubble,708
crescente_1000.csv,Insertion,24375
crescente_1000.csv,Quick,351958
crescente_10000.csv,Bubble,3500
crescente_10000.csv,Insertion,40333
crescente_10000.csv,Quick,25263292
decrescente_100.csv,Bubble,24083
decrescente_100.csv,Insertion,3084
decrescente_100.csv,Quick,22667
decrescente_1000.csv,Bubble,874875
decrescente_1000.csv,Insertion,206292
decrescente_1000.csv,Quick,225583
decrescente_10000.csv,Bubble,87532291
decrescente_10000.csv,Insertion,9010625
decrescente_10000.csv,Quick,20201667
