iteracao,algoritmo,tipo,bits,tempo_ms,tamanho_cifra_bytes
1,RSA-1024,RSA,1024,56.31,128
1,RSA-2048,RSA,2048,33.842,256
1,RSA-4096,RSA,4096,6361.508,512
1,RSA-8192,RSA,8192,52760.012,1024
1,AES-128,AES,128,1405.53,64
1,AES-256,AES,256,0.049,64
2,RSA-1024,RSA,1024,57.722,128
2,RSA-2048,RSA,2048,51.408,256
2,RSA-4096,RSA,4096,1589.701,512
2,RSA-8192,RSA,8192,10315.365,1024
2,AES-128,AES,128,2.633,64
2,AES-256,AES,256,0.014,64
3,RSA-1024,RSA,1024,79.63,128
3,RSA-2048,RSA,2048,315.619,256
3,RSA-4096,RSA,4096,1891.579,512
3,RSA-8192,RSA,8192,34523.69,1024
3,AES-128,AES,128,4.798,64
3,AES-256,AES,256,0.015,64
4,RSA-1024,RSA,1024,73.025,128
4,RSA-2048,RSA,2048,265.634,256
4,RSA-4096,RSA,4096,2541.969,512
4,RSA-8192,RSA,8192,24138.27,1024
4,AES-128,AES,128,4.565,64
4,AES-256,AES,256,0.017,64
5,RSA-1024,RSA,1024,47.468,128
5,RSA-2048,RSA,2048,369.86,256
5,RSA-4096,RSA,4096,4996.807,512
5,RSA-8192,RSA,8192,20377.506,1024
5,AES-128,AES,128,4.773,64
5,AES-256,AES,256,0.013,64
